ID,变体,描述
20438551,,"重新设计的表情符号选取器和触摸键盘改进(20206仅升级才默认启用,20246暂时移除,21227仅升级才默认启用,21313升级和全新安装都默认启用)"
26336822,,"windows 10x new oobe(20226默认禁用,20246移除,21996已启用)"
26008405,,"windows精品聚焦(windows聚焦桌面版)(20231默认禁用,20246暂时移除,21337回归,得手动启用,疑似21390之前某版本移除,22509开始a/b测试,22518推广所有预览人员,22000.706版本已加入)"
25936164,,"主题感应(在20226默认禁用,20241开始a/b测试,20246暂时移除,21332推广所有预览人员)"
27296756,,"电量使用情况(21313默认不启用,22000.51默认启用)"
25810627,,"设备使用情况(自21337后可正常显示页面,得手动启用,在21364推广所有预览人员)"
27923837,,？？？(on the taskbar)
27924070,,？？？
26920259,,"(不知道具体叫啥名称好,意思是会给你自带的驱动(C:\Windows\OEMDRIVERS),运行完后重启就有)"
30848613,,"(启用后电源界面会多出一个重启后自动启动重启前打开的所有应用(21359默认启用,22000.51移到设置))"
41866508,,禁用Win10新版四不像的任务栏搜索图标
25704915,,"开启后会显示预计安装完更新时间(但是官方不想让没有推送的人开启这个隐藏功能就离谱),疑似22000.65已全部启用)"
31371065,,"team聊天按钮(前提是得安装了team),就是微软在宣传片介绍的(在22000.100默认启用,后面被全新id替换为Teams Free)"
39263329,"1/3/5","1:不点击时显示搜索,点击后变为蓝色 3:搜索图标改为放大镜的框为地球 5:不点击时显示搜索Web,点击后变为蓝色 - 任务栏上的搜索入口点已重新设计为三个样式(启用后25211+的任务栏右键会显示任务管理器)(25211和22623.730默认禁用,22000.1042默认禁用,目前已全面推广样式1,22621.900无效)"
41561445,,
35532102,,"对"打印机和扫描仪"页面下的设备特定页面进行了更新(22494默认禁用,22509推广所有预览人员,现已推广至正式版用户)"
35529414,,"在"高级网络设置"页下添加了新的"高级共享设置"，包括"控制面板"中的所有相应设置(例如网络发现、文件和打印机共享以及公用文件夹共享)(22494默认禁用,22509推广所有预览人员,现已推广至正式版用户)"
36226836,,"alt+tab变成窗口化(这波属实返祖10)(22563推广所有预览人员?,现已推广至正式版用户)"
37834869,,"alt+tab加亚克力效果(22557推广所有预览人员,现已推广至正式版用户)"
34301415,,
36553793,,
36226054,,
36226456,,"小组件将会显示天气(22518开始a/b测试,22538推广所有预览人员,22000.526已加入,现已推广至正式版用户)"
35908098,,
37204171,,
36898195,,"启用fluent样式的新任务管理器(22538默认禁用,22557开始a/b测试,22567推广所有预览人员,现已推广至正式版用户)"
37041514,,新项目"选择默认麦克风"已添加到语音键入的设置菜单中(现已推广至正式版用户)
35674037,,"锁屏界面上的媒体控件已更新，以匹配"快速设置"中为媒体控件显示的设计(22543开始a/b测试)(现已推广至正式版用户)"
33122876,,隐藏显示水印的硬件不合格
37272181,,添加了在"开始"菜单中的搜索框下方显示查询建议的功能(移到新推送的搜索亮点下面了)(现已推广至正式版用户)
